Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,born_yyyy,generation
34,0,2,665,1,6,4,4,138,1,0,41,3,2,6,3,2,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,1981,gen_y
25,1,2,240,2,5,3,2,142,3,1,46,2,2,7,3,2,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,1990,gen_y
25,0,2,1280,1,7,1,3,143,4,1,64,2,1,6,4,1,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,1990,gen_y
22,0,2,534,1,15,3,3,144,2,0,59,3,1,2,4,2,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,1993,gen_y
34,1,1,658,1,7,3,1,147,1,1,66,1,2,2,3,2,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1981,gen_y
24,0,2,1127,1,18,1,1,150,2,1,52,3,1,2,3,1,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,1991,gen_y
34,0,2,1031,1,6,4,1,151,3,0,45,2,2,6,2,0,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,1981,gen_y
34,0,2,1354,1,5,3,3,153,3,0,45,2,3,3,1,2,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,1981,gen_y
30,0,1,1312,1,23,3,1,159,1,1,96,1,1,6,3,0,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,1985,gen_y
33,0,0,750,2,22,2,2,160,3,1,95,3,2,7,2,1,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,1982,gen_y
31,1,2,249,2,6,4,1,163,2,1,76,1,2,7,3,1,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,1984,gen_y
26,0,2,841,1,6,3,4,164,3,0,46,2,1,6,2,1,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,1989,gen_y
22,0,2,594,1,2,1,5,169,3,1,100,3,1,2,4,1,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,1993,gen_y
31,1,2,542,2,20,3,1,175,2,0,71,1,2,7,3,1,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1984,gen_y
26,0,2,1355,0,25,1,1,177,3,0,61,3,1,1,3,1,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,1989,gen_y
25,0,2,959,2,28,3,1,183,1,1,41,2,2,7,3,1,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,1990,gen_y
30,0,2,1240,0,9,3,0,184,3,1,48,3,2,1,4,1,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,1985,gen_y
32,1,2,1033,1,9,3,3,190,1,0,41,3,1,2,1,2,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,1983,gen_y
30,0,2,438,1,18,3,1,194,1,0,75,3,1,6,3,2,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,1985,gen_y
32,0,1,689,2,9,2,3,195,4,1,35,1,2,7,4,0,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,1983,gen_y
30,0,2,201,1,5,3,5,197,4,0,84,3,1,6,1,0,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,1985,gen_y
30,0,2,1427,1,2,1,3,198,2,1,35,2,1,2,4,2,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,1985,gen_y
35,0,2,662,2,1,5,2,204,3,1,94,3,3,7,2,1,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,1980,gen_y
32,0,1,967,2,8,3,2,207,2,0,43,3,3,7,4,2,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,1983,gen_y
29,0,0,1496,1,1,1,5,208,4,1,41,3,2,4,3,1,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,1986,gen_y
34,0,1,303,2,2,4,2,216,3,0,75,3,1,8,3,1,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,1981,gen_y
22,0,2,1256,1,19,1,3,217,3,1,80,3,1,6,4,1,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,1993,gen_y
27,0,0,691,1,9,3,3,218,4,1,57,3,1,6,2,0,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,1988,gen_y
28,0,2,440,1,21,3,3,221,3,1,42,3,1,6,4,1,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,1987,gen_y
27,0,0,1450,1,3,3,3,224,3,1,79,2,1,6,3,0,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,1988,gen_y
30,0,2,1339,2,5,3,1,228,2,0,41,3,3,7,4,1,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,1985,gen_y
32,0,2,120,1,6,5,1,231,3,1,43,3,1,6,3,2,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,1983,gen_y
27,0,2,1157,1,17,3,5,233,3,1,51,3,1,6,2,1,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,1988,gen_y
30,0,0,111,1,9,3,3,239,3,1,66,3,2,2,1,0,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,1985,gen_y
33,0,2,134,1,2,3,1,242,3,1,90,3,1,6,4,2,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,1982,gen_y
31,0,2,140,1,12,1,3,246,3,0,95,3,1,6,4,1,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,1984,gen_y
34,0,2,629,1,27,2,3,247,4,0,95,3,1,6,2,2,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,1981,gen_y
33,0,2,931,1,14,3,3,252,4,0,72,3,1,6,2,1,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,1982,gen_y
34,0,1,1069,1,2,1,1,256,4,1,45,2,2,4,3,1,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,1981,gen_y
27,0,2,894,1,9,3,3,260,4,0,99,3,1,6,2,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,1988,gen_y
35,1,2,556,1,23,2,1,261,2,1,50,2,2,4,3,1,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,1980,gen_y
35,0,1,138,1,2,3,3,269,2,0,37,3,2,2,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,1980,gen_y
27,0,1,472,1,1,1,5,274,3,1,60,2,2,4,1,1,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,1988,gen_y
34,0,1,878,1,10,4,3,277,4,1,43,3,1,6,3,0,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,1981,gen_y
29,1,2,121,2,27,3,2,283,2,0,35,3,3,7,4,1,7639,24525,1,0,22,4,4,3,10,3,2,10,4,1,9,1986,gen_y
22,0,2,1136,1,5,3,1,284,4,1,60,4,1,6,2,0,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,1993,gen_y
32,1,2,1045,2,4,4,3,291,4,1,32,1,3,7,4,1,10400,25812,1,0,11,3,3,0,14,2,2,14,8,9,8,1983,gen_y
30,0,0,829,1,1,1,1,292,3,1,88,2,3,4,3,2,8474,20925,1,0,22,4,3,0,12,2,3,11,8,5,8,1985,gen_y
27,0,1,1242,2,20,3,1,293,4,0,90,3,2,7,3,2,9981,12916,1,0,14,3,4,0,7,2,3,7,7,0,7,1988,gen_y
30,1,2,1005,1,3,3,5,297,4,0,88,3,1,6,1,2,2657,8556,5,1,11,3,3,0,8,5,3,5,2,0,4,1985,gen_y
30,1,1,334,2,26,4,2,299,3,0,52,2,2,7,1,2,6696,22967,5,0,15,3,3,0,9,5,2,6,3,0,1,1985,gen_y
29,1,2,992,1,1,3,5,300,3,1,85,3,1,6,3,2,2058,19757,0,0,14,3,4,0,7,1,2,6,2,1,5,1986,gen_y
33,0,2,147,1,4,4,3,305,3,0,47,2,1,6,2,1,2622,13248,6,0,21,4,4,0,7,3,3,3,2,1,1,1982,gen_y
31,0,0,979,1,1,4,3,308,3,1,90,1,2,4,3,1,4345,4381,0,0,12,3,4,1,6,2,3,5,4,1,4,1984,gen_y
29,0,1,1413,2,1,1,3,312,2,0,42,3,3,7,4,1,7918,6599,1,0,14,3,4,1,11,5,3,11,10,4,1,1986,gen_y
35,0,1,944,2,1,3,2,314,3,0,92,3,3,7,3,2,8789,9096,1,0,14,3,1,0,10,3,4,10,7,0,8,1980,gen_y
29,1,2,896,1,18,1,3,315,3,1,86,2,1,6,4,2,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,1986,gen_y
33,1,2,813,1,14,3,3,325,3,1,58,3,1,2,4,1,2436,22149,5,1,13,3,3,1,8,2,1,5,4,0,4,1982,gen_y
33,1,2,465,1,2,2,1,328,1,0,39,3,1,2,1,1,2707,21509,7,0,20,4,1,0,13,3,4,9,7,1,7,1982,gen_y
32,0,2,1401,2,4,2,1,330,3,0,56,3,1,8,2,1,3931,20990,2,0,11,3,1,1,6,5,3,4,3,1,2,1983,gen_y
32,1,2,515,1,1,3,1,331,4,1,62,2,1,2,3,2,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,1983,gen_y
32,0,0,976,2,26,4,2,333,3,1,100,3,2,7,4,1,4465,12069,0,0,18,3,1,0,4,2,3,3,2,2,2,1983,gen_y
31,0,1,1327,1,3,4,3,337,2,1,73,3,3,5,3,0,13675,13523,9,0,12,3,1,1,9,3,3,2,2,2,2,1984,gen_y
33,0,2,832,1,5,4,1,338,3,0,63,2,1,6,4,1,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,1982,gen_y
34,0,2,470,1,2,4,1,339,4,1,84,2,2,4,1,1,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,1981,gen_y
29,0,2,665,1,15,3,1,346,3,1,60,3,1,6,4,2,2340,22673,1,0,19,3,1,0,6,1,3,6,5,1,5,1986,gen_y
29,0,2,1247,2,20,2,2,349,4,1,45,3,2,7,4,0,6931,10732,2,0,14,3,4,1,10,2,3,3,2,0,2,1986,gen_y
25,0,2,685,1,1,3,1,350,1,0,62,3,2,4,3,1,4898,7505,0,0,12,3,4,2,5,3,3,4,2,1,2,1990,gen_y
31,1,1,307,1,29,2,3,355,3,1,71,2,1,2,2,2,3479,11652,0,0,11,3,2,0,6,2,4,5,4,1,4,1984,gen_y
32,0,1,1311,1,7,3,1,359,2,1,100,4,1,2,2,1,2794,26062,1,0,20,4,3,0,5,3,1,5,1,0,3,1983,gen_y
32,0,2,128,1,2,1,5,362,4,1,84,2,2,2,1,2,2176,19737,4,0,13,3,4,0,9,5,3,6,2,0,4,1983,gen_y
28,1,2,529,1,2,4,1,364,1,1,79,3,1,2,3,2,3485,14935,2,0,11,3,3,0,5,5,1,0,0,0,0,1987,gen_y
29,0,2,1210,2,2,3,3,366,1,1,78,2,2,7,2,1,6644,3687,2,0,19,3,2,2,10,2,3,0,0,0,0,1986,gen_y
31,0,2,1463,1,23,3,3,367,2,1,64,2,2,0,4,1,5582,14408,0,0,21,4,2,1,10,2,3,9,0,7,8,1984,gen_y
25,0,0,675,1,5,2,1,369,2,1,85,4,2,0,1,0,4000,18384,1,0,12,3,4,2,6,2,3,6,3,1,5,1990,gen_y
28,0,2,1158,1,9,3,3,377,4,1,94,3,1,6,4,1,2070,2613,1,0,23,4,4,1,5,3,2,5,2,0,4,1987,gen_y
21,0,2,996,1,3,2,3,379,4,1,100,2,1,6,3,2,3230,10531,1,0,17,3,1,0,3,4,4,3,2,1,0,1994,gen_y
35,0,2,1315,1,22,3,1,381,2,0,71,4,3,3,2,0,11996,19100,7,0,18,3,2,1,10,6,2,7,7,6,2,1980,gen_y
26,0,1,1479,1,1,3,1,384,3,0,84,3,2,4,2,0,6397,26767,1,0,20,4,1,1,6,6,1,6,5,1,4,1989,gen_y
29,0,1,442,2,2,2,1,388,2,1,44,3,2,7,4,2,4554,20260,1,0,18,3,1,0,10,3,2,10,7,0,9,1986,gen_y
26,0,1,496,1,11,2,3,390,1,1,60,3,2,0,1,1,4741,22722,1,1,13,3,3,1,5,3,3,5,3,3,3,1989,gen_y
26,1,2,1449,1,16,4,3,394,1,1,45,3,1,2,2,0,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,1989,gen_y
28,0,2,1117,1,8,2,1,395,4,0,66,3,1,6,4,2,3310,4488,1,0,21,4,4,0,5,3,3,5,3,0,2,1987,gen_y
31,0,1,444,2,5,3,2,399,4,0,84,3,1,8,2,0,2789,3909,1,0,11,3,3,1,2,5,2,2,2,2,2,1984,gen_y
26,1,2,950,2,4,4,2,401,4,1,48,2,2,7,4,2,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,1989,gen_y
35,0,2,1232,2,16,3,2,406,3,1,96,3,3,7,2,1,8020,5100,0,0,15,3,3,2,12,3,2,11,9,6,9,1980,gen_y
28,0,2,1476,1,16,2,3,412,2,1,68,4,2,0,1,2,5661,4824,0,0,19,3,3,0,9,2,3,8,3,0,7,1987,gen_y
31,0,2,218,2,7,3,5,416,2,1,100,4,2,7,4,1,6929,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,1984,gen_y
32,0,2,906,2,7,3,1,420,4,1,91,2,2,7,3,1,5484,16985,1,0,14,3,3,1,13,3,2,13,8,4,8,1983,gen_y
31,0,2,691,1,5,4,5,423,3,1,86,3,1,6,4,1,4821,10077,0,1,12,3,3,1,6,4,3,5,2,0,3,1984,gen_y
31,0,2,106,0,2,3,0,424,1,1,62,2,2,1,1,1,6410,17822,3,0,12,3,4,0,9,1,3,2,2,1,0,1984,gen_y
31,0,2,192,1,2,4,1,426,3,1,32,3,1,6,4,0,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2,1984,gen_y
33,0,1,553,1,5,4,1,428,4,0,74,3,3,3,2,1,11878,23364,6,0,11,3,2,2,12,2,3,10,6,8,8,1982,gen_y
27,0,2,1220,1,5,3,1,434,3,0,85,3,1,6,2,2,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,1988,gen_y
32,0,2,588,2,8,2,5,436,3,0,65,2,2,7,2,1,5228,24624,1,1,11,3,4,0,13,2,3,13,12,11,9,1983,gen_y
27,0,2,1377,2,2,3,1,437,4,1,74,3,2,7,3,2,4478,5242,1,1,11,3,1,0,5,3,3,5,4,0,4,1988,gen_y
31,0,2,691,2,7,3,2,438,4,1,73,3,2,7,4,0,7547,7143,4,0,12,3,4,3,13,3,3,7,7,1,7,1984,gen_y
32,0,2,1018,1,2,4,3,439,1,0,74,4,2,6,4,2,5055,10557,7,0,16,3,3,0,10,0,2,7,7,0,7,1983,gen_y
28,1,2,1157,1,2,4,3,440,1,1,84,1,1,6,4,1,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,1987,gen_y
30,0,2,1275,1,28,2,3,441,4,0,64,3,2,6,4,1,5775,11934,1,0,13,3,4,2,11,2,3,10,8,1,9,1985,gen_y
31,0,1,798,1,7,2,1,442,3,0,48,2,3,4,3,1,8943,14034,1,0,24,4,1,1,10,2,3,10,9,8,9,1984,gen_y
33,0,1,508,2,10,3,2,446,2,1,46,2,2,7,4,2,4682,4317,3,0,14,3,3,0,9,6,2,7,7,0,1,1982,gen_y
27,0,0,210,2,1,1,2,449,3,1,73,3,2,7,2,1,6349,22107,0,1,13,3,4,1,6,0,3,5,4,1,4,1988,gen_y
29,1,2,318,1,8,4,4,454,2,1,77,1,1,2,1,1,2119,4759,1,1,11,3,4,0,7,4,2,7,7,0,7,1986,gen_y
29,0,2,738,1,9,5,4,455,2,1,30,2,1,2,4,2,3983,7621,0,0,17,3,3,0,4,2,3,3,2,2,2,1986,gen_y
30,0,2,570,2,5,3,2,456,4,0,30,2,2,7,3,0,6118,5431,1,0,13,3,3,3,10,2,3,10,9,1,2,1985,gen_y
27,0,2,1130,2,8,4,2,458,2,0,56,3,2,7,2,1,6214,3415,1,0,18,3,1,1,8,3,3,8,7,0,7,1988,gen_y
31,0,2,1232,1,7,4,3,462,3,0,39,3,3,4,4,2,7143,25713,1,1,14,3,3,0,11,2,2,11,9,4,10,1984,gen_y
29,0,2,144,2,10,1,2,463,4,0,39,2,2,7,2,0,8268,11866,1,1,14,3,1,2,7,2,3,7,7,1,7,1986,gen_y
35,0,2,1296,1,5,4,5,464,3,1,62,3,3,4,2,2,8095,18264,0,0,13,3,4,0,17,5,3,16,6,0,13,1980,gen_y
23,0,2,1309,1,26,1,1,465,3,1,83,3,1,6,4,0,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2,1992,gen_y
29,0,0,746,2,2,3,1,469,4,1,61,3,2,7,3,1,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,1986,gen_y
32,0,2,1062,1,2,3,3,471,3,0,75,3,1,2,2,1,2370,3956,1,0,13,3,3,1,8,4,3,8,0,0,7,1983,gen_y
30,0,0,641,2,25,2,5,475,4,0,85,3,2,7,3,1,4736,6069,7,1,12,3,2,1,4,2,4,2,2,2,2,1985,gen_y
26,0,2,933,2,1,3,1,476,3,1,57,3,2,7,3,1,5296,20156,1,0,17,3,2,1,8,3,3,8,7,7,7,1989,gen_y
21,1,1,756,2,1,1,5,478,1,0,99,2,1,8,2,2,2174,9150,1,1,11,3,3,0,3,3,3,3,2,1,2,1994,gen_y
21,0,0,895,2,9,2,3,484,1,1,39,3,1,8,4,2,2610,2851,1,0,24,4,3,0,3,3,2,3,2,2,2,1994,gen_y
33,1,2,350,2,5,3,2,485,4,0,34,3,1,8,3,2,2851,9150,1,1,13,3,2,0,1,2,3,1,0,0,0,1982,gen_y
31,0,2,408,1,9,4,1,493,3,1,42,2,1,6,2,2,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,1984,gen_y
21,1,2,156,2,12,3,1,494,3,0,90,4,1,8,2,2,2716,25422,1,0,15,3,4,0,1,0,3,1,0,0,0,1994,gen_y
29,0,2,1283,1,23,3,1,495,4,1,54,3,1,6,4,2,2201,18168,9,0,16,3,4,0,6,4,3,3,2,1,2,1986,gen_y
35,0,2,755,1,9,4,1,496,3,1,97,2,2,0,2,2,6540,19394,9,0,19,3,3,0,10,5,3,1,1,0,0,1980,gen_y
27,0,2,1469,1,1,2,3,497,4,1,82,3,1,2,2,0,3816,17881,1,0,11,3,2,1,5,2,3,5,2,0,4,1988,gen_y
28,0,2,304,2,9,4,1,498,2,1,92,3,2,7,4,2,5253,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,1987,gen_y
34,1,0,1362,2,19,3,2,502,1,1,67,4,2,7,4,2,5304,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,1981,gen_y
24,0,2,1371,2,10,4,2,507,4,0,77,3,2,7,3,0,4260,5915,1,1,12,3,4,1,5,2,4,5,2,0,3,1991,gen_y
30,0,2,202,2,2,1,5,508,3,1,72,3,1,8,2,1,2476,17434,1,0,18,3,1,1,1,3,3,1,0,0,0,1985,gen_y
